id,Time,Head_x,Head_y,Head_z,ShoulderCenter_x,ShoulderCenter_y,ShoulderCenter_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristLeft_x,WristLeft_y,WristLeft_z,WristRight_x,WristRight_y,WristRight_z,HandLeft_x,HandLeft_y,HandLeft_z,HandRight_x,HandRight_y,HandRight_z,Spine_x,Spine_y,Spine_z,HipCenter_x,HipCenter_y,HipCenter_z,HipLeft_x,HipLeft_y,HipLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootLeft_x,FootLeft_y,FootLeft_z,FootRight_x,FootRight_y,FootRight_z
10,2214530771,0.0936755,0.173965,2.39176,0.0700618,-0.0297062,2.41244,-0.0872871,-0.160952,2.39096,0.234952,-0.179304,2.43294,-0.136344,-0.397774,2.34608,0.295997,-0.389186,2.3984,-0.165316,-0.533481,2.16847,0.13672,-0.532476,2.35091,-0.177859,-0.579556,2.11434,0.120838,-0.596154,2.33221,0.0753963,-0.351186,2.42214,0.0834643,-0.408005,2.37295,0.00608913,-0.477957,2.35117,0.16446,-0.483628,2.37464,-0.018104,-0.549888,1.99856,0.260574,-0.534631,2.0504,-0.0364061,-0.842504,1.93737,0.278775,-0.829103,1.98298,-0.0247827,-0.877252,1.85456,0.29041,-0.863852,1.90014
11,2214530772,0.0927171,0.173714,2.3915,0.0692183,-0.0297231,2.41248,-0.0876522,-0.161072,2.39098,0.234609,-0.179259,2.43293,-0.136575,-0.397808,2.34615,0.295995,-0.389278,2.39837,-0.165864,-0.533673,2.16877,0.136575,-0.532439,2.35154,-0.178417,-0.579764,2.11473,0.12071,-0.596048,2.33286,0.0748315,-0.351189,2.42209,0.0829908,-0.407966,2.37288,0.00566773,-0.477961,2.35125,0.16413,-0.483561,2.37447,-0.0180874,-0.549928,1.99844,0.260469,-0.534646,2.05058,-0.0365166,-0.842202,1.93717,0.278734,-0.828876,1.98288,-0.0249072,-0.876935,1.85438,0.290358,-0.863612,1.90006
12,2214530775,0.0918708,0.173491,2.39125,0.0684,-0.0297441,2.41248,-0.0879864,-0.161194,2.39099,0.234294,-0.179214,2.43291,-0.136781,-0.397854,2.34622,0.295983,-0.38939,2.39834,-0.167098,-0.534045,2.16935,0.136483,-0.532429,2.35191,-0.179669,-0.580143,2.1154,0.120631,-0.595987,2.33326,0.0742887,-0.351195,2.42204,0.0825402,-0.407935,2.37281,0.00527951,-0.477969,2.35132,0.163806,-0.483497,2.3743,-0.0180694,-0.549968,1.99833,0.260365,-0.534662,2.05074,-0.0366258,-0.841926,1.93698,0.278696,-0.828679,1.98278,-0.0250273,-0.876647,1.85422,0.290311,-0.863403,1.89999
13,2214530778,0.0911394,0.173302,2.39102,0.0676893,-0.0297473,2.41244,-0.0882908,-0.161317,2.39097,0.234006,-0.179171,2.43289,-0.136963,-0.397901,2.34629,0.29596,-0.389537,2.3983,-0.168061,-0.534451,2.1699,0.136335,-0.53237,2.35222,-0.180604,-0.580577,2.11604,0.120492,-0.595875,2.33359,0.0737982,-0.351204,2.42199,0.0821282,-0.407918,2.37275,0.00491845,-0.477989,2.3514,0.1635,-0.483444,2.37413,-0.0180503,-0.550016,1.99821,0.260253,-0.534683,2.05089,-0.0367236,-0.841681,1.93678,0.27864,-0.82851,1.9827,-0.025134,-0.876395,1.85405,0.290247,-0.863224,1.89992
14,2214530782,0.090412,0.173122,2.39077,0.0670851,-0.0297518,2.41239,-0.0885583,-0.161435,2.39095,0.23373,-0.179139,2.43285,-0.137141,-0.397967,2.34635,0.295863,-0.389828,2.39819,-0.168668,-0.534698,2.17023,0.136103,-0.53234,2.35256,-0.181134,-0.580806,2.11639,0.120274,-0.595793,2.33393,0.0733816,-0.351222,2.42195,0.0817761,-0.407918,2.37269,0.00463066,-0.478032,2.35149,0.163228,-0.483399,2.37398,-0.0180321,-0.550063,1.9981,0.260134,-0.534708,2.05104,-0.036817,-0.84145,1.93658,0.278585,-0.828364,1.98262,-0.0252382,-0.876156,1.85388,0.290182,-0.86307,1.89986
15,2214530785,0.0897711,0.172989,2.39053,0.066618,-0.0297408,2.41233,-0.0888187,-0.16155,2.39091,0.233483,-0.179112,2.4328,-0.137306,-0.398035,2.3464,0.295765,-0.390046,2.39812,-0.169203,-0.534941,2.17054,0.135974,-0.532329,2.35274,-0.181592,-0.581034,2.11671,0.120155,-0.595744,2.33412,0.0730291,-0.351237,2.42191,0.0814762,-0.407922,2.37265,0.00438561,-0.478074,2.35157,0.162996,-0.483362,2.37385,-0.018023,-0.550075,1.998,0.260006,-0.534737,2.05119,-0.0368682,-0.841164,1.93638,0.278529,-0.828218,1.98254,-0.0252993,-0.875865,1.85371,0.290119,-0.862918,1.8998
16,2214530789,0.08922,0.172871,2.39031,0.0661598,-0.0297265,2.41224,-0.0890722,-0.161674,2.39085,0.233231,-0.179084,2.43273,-0.137457,-0.398102,2.34645,0.29571,-0.390204,2.39807,-0.169555,-0.535098,2.17074,0.135882,-0.53231,2.35288,-0.181876,-0.581171,2.11691,0.12007,-0.595692,2.33428,0.072731,-0.351249,2.42187,0.0812182,-0.407928,2.37261,0.00418162,-0.478117,2.35165,0.162795,-0.48333,2.37374,-0.0180159,-0.550087,1.99792,0.259869,-0.534771,2.05135,-0.0368965,-0.840869,1.93618,0.278471,-0.828068,1.98246,-0.0253407,-0.875567,1.85354,0.290051,-0.862761,1.89974
17,2214530792,0.0887508,0.172773,2.3901,0.0657784,-0.0297064,2.41213,-0.0893092,-0.161803,2.39077,0.232951,-0.179051,2.43262,-0.137591,-0.398166,2.34649,0.295707,-0.390331,2.39799,-0.169777,-0.535191,2.17086,0.135795,-0.532257,2.35305,-0.182059,-0.581256,2.11704,0.119989,-0.595596,2.33447,0.0725033,-0.351267,2.42185,0.0810292,-0.407951,2.37259,0.00405817,-0.47819,2.35175,0.16264,-0.483311,2.37366,-0.0180108,-0.550097,1.99784,0.259715,-0.534801,2.05153,-0.0369059,-0.840527,1.93594,0.278408,-0.827895,1.98236,-0.025365,-0.875226,1.85334,0.289977,-0.862584,1.89967
18,2214530796,0.0882949,0.172706,2.38991,0.0654576,-0.0296885,2.41201,-0.0895254,-0.161918,2.39069,0.232633,-0.179014,2.43244,-0.137716,-0.398227,2.34653,0.29598,-0.390313,2.39796,-0.169929,-0.535247,2.17094,0.135851,-0.532017,2.35324,-0.182088,-0.581252,2.11707,0.120071,-0.595277,2.33468,0.0723128,-0.351284,2.42183,0.080861,-0.407978,2.37257,0.00395108,-0.478262,2.35186,0.162487,-0.483294,2.37359,-0.0180068,-0.550112,1.99776,0.259556,-0.534831,2.05172,-0.0368869,-0.840195,1.93574,0.278343,-0.827704,1.98226,-0.0253693,-0.874897,1.85317,0.289894,-0.862389,1.8996
19,2214530799,0.0879017,0.172663,2.38972,0.0651616,-0.0296682,2.41185,-0.0897587,-0.162044,2.39057,0.232322,-0.178991,2.43219,-0.137828,-0.398284,2.34656,0.296779,-0.389925,2.39816,-0.16996,-0.535231,2.17094,0.136202,-0.53148,2.35341,-0.181848,-0.581094,2.11693,0.120471,-0.59463,2.33487,0.0721602,-0.351296,2.42181,0.080724,-0.408003,2.37256,0.00386705,-0.478331,2.35195,0.162382,-0.483281,2.37354,-0.0179961,-0.550098,1.9977,0.259388,-0.534862,2.05191,-0.0368521,-0.839754,1.93553,0.278283,-0.827494,1.98214,-0.0253671,-0.874459,1.853,0.28981,-0.862177,1.89951
20,2214530816,0.0875339,0.172634,2.38949,0.0648302,-0.0295964,2.41148,-0.0900131,-0.162252,2.39029,0.232015,-0.179001,2.43178,-0.137957,-0.398365,2.34656,0.297614,-0.389498,2.3983,-0.163094,-0.532255,2.16756,0.136625,-0.53092,2.35356,-0.174848,-0.578074,2.11364,0.120943,-0.593963,2.33504,0.0720389,-0.351299,2.42179,0.0806161,-0.408024,2.37255,0.0038106,-0.478398,2.35205,0.162302,-0.483267,2.37351,-0.0179748,-0.55009,1.99764,0.259184,-0.534922,2.05212,-0.0368101,-0.839315,1.93532,0.278232,-0.827301,1.98203,-0.0253588,-0.874037,1.85283,0.289737,-0.86199,1.89943
